timestamp,actual,predicted
2024-12-01,28018113530.0,33881163567.48526
2024-12-02,47284967570.0,35138295063.50574
2024-12-03,36839829742.0,35319198396.25667
2024-12-04,56799745752.0,35168949443.64483
2024-12-05,60568296606.0,35022163706.89016
2024-12-06,52853668566.0,34951250613.27493
2024-12-07,22574636761.0,34933441472.16442
2024-12-08,20943378971.0,34936517312.6624
2024-12-09,57029832059.0,34942649382.26063
2024-12-10,58416417599.0,34946321436.92144
2024-12-11,35968053196.0,34947569271.386795
2024-12-12,42971675764.0,34947641205.60308
2024-12-13,34895127659.0,34947415646.57516
2024-12-14,28756190559.0,34947239546.09116
2024-12-15,25069616984.0,34947164514.30661
2024-12-16,46536359669.0,34947150279.61032
2024-12-17,35418700472.0,34947156806.486496
2024-12-18,48946681636.0,34947164596.46463
2024-12-19,58879190250.0,34947168680.615715
2024-12-20,66383827229.0,34947169853.50597
2024-12-21,31579389836.0,34947169780.869385
2024-12-22,24780768375.0,34947169469.275505
2024-12-23,34496081389.0,34947169264.13797
2024-12-24,23083678195.0,34947169187.56226
2024-12-25,17651873225.0,34947169178.6686
2024-12-26,22247726776.0,34947169189.33004
2024-12-27,24091627403.0,34947169198.87161
2024-12-28,14305648523.0,34947169203.282845
2024-12-29,13440907792.0,34947169204.29966
2024-12-30,26981583962.0,34947169204.04369
