timestamp,actual,predicted,error
2025-08-28,1.07375,1.0721047885177366,0.0016452114822633757
2025-08-29,1.07187,1.078109683009009,-0.00623968300900879
2025-09-01,1.07175,1.0750601901629493,-0.0033101901629493113
2025-09-02,1.0726,1.0740898716442326,-0.0014898716442326432
2025-09-03,1.07331,1.075732705918349,-0.002422705918349033
2025-09-04,1.07532,1.0753789007827765,-5.890078277648314e-05
2025-09-05,1.0754,1.074355758031694,0.0010442419683058812
2025-09-08,1.07889,1.0753219881030036,0.0035680118969962926
2025-09-09,1.07832,1.0753291762712456,0.002990823728754366
2025-09-10,1.08483,1.0747824123802963,0.010047587619703702
