timestamp,actual,predicted
2026-05-13,73.7878,74.4441793578419
2026-05-14,73.342,74.66069398472573
2026-05-15,73.1385,75.02660959877055
2026-05-16,73.1275,75.2816686742484
2026-05-19,72.3497,75.52758660645145
2026-05-20,71.2926,75.78933197754799
2026-05-21,70.9509,75.9780947535741
2026-05-22,70.7902,76.12857227097867
2026-05-23,71.209,76.26918319163633
2026-05-26,71.546,76.46607988863977
2026-05-27,71.668,76.6701330309966
2026-05-28,70.9012,76.85580972613091
2026-05-29,71.3715,77.06022682941753
2026-05-30,71.0224,77.2736406476497
2026-06-02,71.5532,77.50100485419816
2026-06-03,72.5597,77.71432020222443
2026-06-04,73.3436,77.89276840852771
2026-06-05,74.2956,78.05313390779783
2026-06-06,73.4689,78.20899365918078
2026-06-09,73.2644,78.3570503150832
