timestamp,actual,predicted
2024-11-21,51619069348.0,31322526386.797882
2024-11-22,36775716442.0,32052393140.012363
2024-11-23,38835184688.0,32398973028.07785
2024-11-24,27901454185.0,32563547751.179653
2024-11-25,51544793988.0,32641696658.305267
2024-11-26,39902959158.0,32678805951.699917
2024-11-27,43383987191.0,32696427434.92855
2024-11-28,32362724276.0,32704795060.46846
2024-11-29,27622629486.0,32708768457.95536
2024-11-30,30670867436.0,32710655240.234707
2024-12-01,28018113530.0,32711551185.677216
2024-12-02,47284967570.0,32711976628.636234
2024-12-03,36839829742.0,32712178651.776028
2024-12-04,56799745752.0,32712274583.200314
2024-12-05,60568296606.0,32712320136.5868
2024-12-06,52853668566.0,32712341767.77841
2024-12-07,22574636761.0,32712352039.428593
2024-12-08,20943378971.0,32712356916.95912
2024-12-09,57029832059.0,32712359233.07227
2024-12-10,58416417599.0,32712360332.88704
2024-12-11,35968053196.0,32712360855.138092
2024-12-12,42971675764.0,32712361103.13091
2024-12-13,34895127659.0,32712361220.8912
2024-12-14,28756190559.0,32712361276.810104
2024-12-15,25069616984.0,32712361303.3634
2024-12-16,46536359669.0,32712361315.97233
2024-12-17,35418700472.0,32712361321.959724
2024-12-18,48946681636.0,32712361324.80286
2024-12-19,58879190250.0,32712361326.152935
2024-12-20,66383827229.0,32712361326.79402
2024-12-21,31579389836.0,32712361327.098446
2024-12-22,24780768375.0,32712361327.243004
2024-12-23,34496081389.0,32712361327.311646
2024-12-24,23083678195.0,32712361327.344242
2024-12-25,17651873225.0,32712361327.35972
2024-12-26,22247726776.0,32712361327.36707
2024-12-27,24091627403.0,32712361327.37056
2024-12-28,14305648523.0,32712361327.372215
2024-12-29,13440907792.0,32712361327.373
2024-12-30,26981583962.0,32712361327.373375
