timestamp,actual,predicted,error
2026-05-13,73.7878,74.47953796386719,-0.6917379638671832
2026-05-14,73.342,74.32733154296875,-0.9853315429687513
2026-05-15,73.1385,74.18445587158203,-1.0459558715820378
2026-05-16,73.1275,74.05718994140625,-0.9296899414062523
2026-05-19,72.3497,73.94807434082031,-1.598374340820314
2026-05-20,71.2926,73.85282135009766,-2.560221350097663
2026-05-21,70.9509,73.77434539794922,-2.8234453979492145
2026-05-22,70.7902,73.7063980102539,-2.9161980102539076
2026-05-23,71.209,73.6490249633789,-2.440024963378903
2026-05-26,71.546,73.60211181640625,-2.0561118164062435
2026-05-27,71.668,73.56269073486328,-1.8946907348632749
2026-05-28,70.9012,73.53300476074219,-2.6318047607421846
2026-05-29,71.3715,73.5093002319336,-2.1378002319335963
2026-05-30,71.0224,73.49131774902344,-2.468917749023433
2026-06-02,71.5532,73.4761962890625,-1.922996289062496
2026-06-03,72.5597,73.46328735351562,-0.9035873535156185
2026-06-04,73.3436,73.45279693603516,-0.10919693603516123
2026-06-05,74.2956,73.44429779052734,0.8513022094726495
2026-06-06,73.4689,73.43743133544922,0.03146866455078623
2026-06-09,73.2644,73.431884765625,-0.16748476562500514
