timestamp,actual,predicted
2024-11-01,20215438328.0,18832038114.575344
2024-11-02,9639457439.0,18406705068.21031
2024-11-03,15667779706.0,18211838873.28437
2024-11-04,17110200696.0,18122560990.341965
2024-11-05,17894057485.0,18081658357.713932
2024-11-06,41887574364.0,18062918830.06426
2024-11-07,35352318438.0,18054333321.651474
2024-11-08,32303261101.0,18050399873.803482
2024-11-09,29210133088.0,18048597765.969097
2024-11-10,47418730187.0,18047772130.859074
2024-11-11,55417771668.0,18047393866.405693
2024-11-12,56686078066.0,18047220564.67112
2024-11-13,52010205682.0,18047141166.538578
2024-11-14,35743352141.0,18047104790.310337
2024-11-15,32701369872.0,18047088124.553364
2024-11-16,26650658846.0,18047080489.142303
2024-11-17,28348163224.0,18047076990.981243
2024-11-18,35445557613.0,18047075388.299908
2024-11-19,29823634432.0,18047074654.031982
2024-11-20,29785491216.0,18047074317.627373
2024-11-21,51619069348.0,18047074163.50371
2024-11-22,36775716442.0,18047074092.892006
2024-11-23,38835184688.0,18047074060.54128
2024-11-24,27901454185.0,18047074045.719803
2024-11-25,51544793988.0,18047074038.929348
2024-11-26,39902959158.0,18047074035.818302
2024-11-27,43383987191.0,18047074034.39298
2024-11-28,32362724276.0,18047074033.739967
2024-11-29,27622629486.0,18047074033.440792
2024-11-30,30670867436.0,18047074033.303722
2024-12-01,28018113530.0,18047074033.240925
2024-12-02,47284967570.0,18047074033.212154
2024-12-03,36839829742.0,18047074033.198975
2024-12-04,56799745752.0,18047074033.192936
2024-12-05,60568296606.0,18047074033.19017
2024-12-06,52853668566.0,18047074033.188904
2024-12-07,22574636761.0,18047074033.188324
2024-12-08,20943378971.0,18047074033.188057
2024-12-09,57029832059.0,18047074033.187935
2024-12-10,58416417599.0,18047074033.187878
2024-12-11,35968053196.0,18047074033.18785
2024-12-12,42971675764.0,18047074033.18784
2024-12-13,34895127659.0,18047074033.187836
2024-12-14,28756190559.0,18047074033.18783
2024-12-15,25069616984.0,18047074033.18783
2024-12-16,46536359669.0,18047074033.18783
2024-12-17,35418700472.0,18047074033.18783
2024-12-18,48946681636.0,18047074033.18783
2024-12-19,58879190250.0,18047074033.18783
2024-12-20,66383827229.0,18047074033.18783
2024-12-21,31579389836.0,18047074033.18783
2024-12-22,24780768375.0,18047074033.18783
2024-12-23,34496081389.0,18047074033.18783
2024-12-24,23083678195.0,18047074033.18783
2024-12-25,17651873225.0,18047074033.18783
2024-12-26,22247726776.0,18047074033.18783
2024-12-27,24091627403.0,18047074033.18783
2024-12-28,14305648523.0,18047074033.18783
2024-12-29,13440907792.0,18047074033.18783
2024-12-30,26981583962.0,18047074033.18783
