timestamp,actual,predicted
2024-11-11,55417771668.0,38306397685.44711
2024-11-12,56686078066.0,34145920942.244766
2024-11-13,52010205682.0,32246345095.141098
2024-11-14,35743352141.0,31379043431.98549
2024-11-15,32701369872.0,30983053887.23559
2024-11-16,26650658846.0,30802254372.819008
2024-11-17,28348163224.0,30719705566.047054
2024-11-18,35445557613.0,30682015722.014774
2024-11-19,29823634432.0,30664807425.50842
2024-11-20,29785491216.0,30656950521.97767
2024-11-21,51619069348.0,30653363244.58105
2024-11-22,36775716442.0,30651725378.076782
2024-11-23,38835184688.0,30650977566.745457
2024-11-24,27901454185.0,30650636133.6764
2024-11-25,51544793988.0,30650480243.365887
2024-11-26,39902959158.0,30650409067.515877
2024-11-27,43383987191.0,30650376570.296467
2024-11-28,32362724276.0,30650361732.830257
2024-11-29,27622629486.0,30650354958.39209
2024-11-30,30670867436.0,30650351865.342922
2024-12-01,28018113530.0,30650350453.129406
2024-12-02,47284967570.0,30650349808.345924
2024-12-03,36839829742.0,30650349513.95295
2024-12-04,56799745752.0,30650349379.54004
2024-12-05,60568296606.0,30650349318.170265
2024-12-06,52853668566.0,30650349290.15027
2024-12-07,22574636761.0,30650349277.357
2024-12-08,20943378971.0,30650349271.515892
2024-12-09,57029832059.0,30650349268.84898
2024-12-10,58416417599.0,30650349267.631332
2024-12-11,35968053196.0,30650349267.075382
2024-12-12,42971675764.0,30650349266.82155
2024-12-13,34895127659.0,30650349266.705654
2024-12-14,28756190559.0,30650349266.65274
2024-12-15,25069616984.0,30650349266.628582
2024-12-16,46536359669.0,30650349266.61755
2024-12-17,35418700472.0,30650349266.612514
2024-12-18,48946681636.0,30650349266.610214
2024-12-19,58879190250.0,30650349266.609165
2024-12-20,66383827229.0,30650349266.608685
2024-12-21,31579389836.0,30650349266.608467
2024-12-22,24780768375.0,30650349266.608368
2024-12-23,34496081389.0,30650349266.608322
2024-12-24,23083678195.0,30650349266.608303
2024-12-25,17651873225.0,30650349266.608295
2024-12-26,22247726776.0,30650349266.60829
2024-12-27,24091627403.0,30650349266.608288
2024-12-28,14305648523.0,30650349266.608288
2024-12-29,13440907792.0,30650349266.608288
2024-12-30,26981583962.0,30650349266.608288
