timestamp,actual,predicted
2024-12-16,46536359669.0,30882749956.516315
2024-12-17,35418700472.0,33560829195.118874
2024-12-18,48946681636.0,34794605962.67998
2024-12-19,58879190250.0,35363000314.210754
2024-12-20,66383827229.0,35624856548.94172
2024-12-21,31579389836.0,35745492314.37959
2024-12-22,24780768375.0,35801068565.667755
2024-12-23,34496081389.0,35826672247.09701
2024-12-24,23083678195.0,35838467726.05675
2024-12-25,17651873225.0,35843901840.06391
2024-12-26,22247726776.0,35846405307.294334
2024-12-27,24091627403.0,35847558641.24455
2024-12-28,14305648523.0,35848089976.0208
2024-12-29,13440907792.0,35848334759.107605
2024-12-30,26981583962.0,35848447529.3652
