timestamp,actual,predicted,error
2024-12-21,31579389836.0,47689550637.94849,-16110160801.948486
2024-12-22,24780768375.0,46310673126.58374,-21529904751.58374
2024-12-23,34496081389.0,45389691013.153564,-10893609624.153564
2024-12-24,23083678195.0,44476072095.03955,-21392393900.03955
2024-12-25,17651873225.0,44101883539.64404,-26450010314.644043
2024-12-26,22247726776.0,43850490581.367676,-21602763805.367676
2024-12-27,24091627403.0,43682030056.25659,-19590402653.25659
2024-12-28,14305648523.0,43581826023.80054,-29276177500.800537
2024-12-29,13440907792.0,43516435098.0791,-30075527306.0791
2024-12-30,26981583962.0,43474198255.881836,-16492614293.881836
