timestamp,actual,predicted,error
2024-12-21,31579389836.0,42702920839.57286,-11123531003.57286
2024-12-22,24780768375.0,38483283900.54966,-13702515525.54966
2024-12-23,34496081389.0,44614399336.7948,-10118317947.7948
2024-12-24,23083678195.0,44601246221.91448,-21517568026.914482
2024-12-25,17651873225.0,42843961433.78323,-25192088208.783234
2024-12-26,22247726776.0,41700018964.68179,-19452292188.681793
2024-12-27,24091627403.0,41714469096.58116,-17622841693.58116
2024-12-28,14305648523.0,43319544016.10351,-29013895493.103508
2024-12-29,13440907792.0,44084633055.72073,-30643725263.720734
2024-12-30,26981583962.0,44139153918.916565,-17157569956.916565
