timestamp,value,nominal,returns,volatility
2025-06-10,79.1543,1,,
2025-06-11,78.6003,1,-0.0069989880524494,
2025-06-12,79.0028,1,0.0051208455947366,
2025-06-17,78.5067,1,-0.0062795242700258,
2025-06-18,78.7135,1,0.0026341700772036,
2025-06-19,78.7174,1,4.954677406043828e-05,
2025-06-20,78.4839,1,-0.002966307322142,
2025-06-21,78.5016,1,0.0002255239609652,0.0044868734905199464
2025-06-24,78.2923,1,-0.0026661876955373,0.0037947862635050312
2025-06-25,78.3892,1,0.0012376696048015,0.0030345265937939143
2025-06-26,78.1959,1,-0.002465900914922,0.002171082367100387
2025-06-27,78.2117,1,0.0002020566295675,0.0017220479871152966
2025-06-28,78.4685,1,0.003283396218213,0.0023443241178882734
2025-07-01,78.5284,1,0.0007633636427355,0.002086788153672816
2025-07-02,78.4181,1,-0.0014045873849461,0.002157954301564594
2025-07-03,78.654,1,0.0030082340684103,0.0021207028844567196
2025-07-04,78.7831,1,0.0016413659826584,0.0021443682719956237
2025-07-05,78.8354,1,0.0006638479572396,0.0016357741434790082
2025-07-08,78.7185,1,-0.0014828363907585,0.0019032453246889632
2025-07-09,78.1682,1,-0.0069907328010569,0.0032594649262803026
2025-07-10,78.1727,1,5.756816710644763e-05,0.003223029949714886
2025-07-11,77.9029,1,-0.0034513327542735,0.0033919563349955498
2025-07-12,77.8855,1,-0.0002233549713811,0.002957743085677843
2025-07-15,78.3722,1,0.0062489166789712,0.0040557279174407825
2025-07-16,77.9584,1,-0.0052799334457882,0.004326090838448536
2025-07-17,77.9585,1,1.2827354076705433e-06,0.004368311891821262
2025-07-18,78.1856,1,0.0029130883739425,0.00381592094255228
2025-07-19,78.3129,1,0.0016281770556214,0.0038631439890608027
2025-07-22,78.3274,1,0.000185154680774,0.003508756918527096
2025-07-23,78.0882,1,-0.0030538483340439,0.00379530798127569
2025-07-24,78.4477,1,0.004603768559142,0.003401654065481378
2025-07-25,78.8623,1,0.0052850497847611,0.002901850293474546
2025-07-26,79.5527,1,0.0087544999321602,0.003814507901060914
2025-07-29,79.5782,1,0.0003205422317531,0.0039371698668608296
2025-07-30,82.2197,1,0.0331937641213297,0.012179215502026068
2025-07-31,81.8347,1,-0.0046825760736174,0.012760989225830983
2025-08-01,80.3163,1,-0.0185544762796222,0.015675915150479884
2025-08-02,80.3289,1,0.0001568797367408,0.015743546725514326
2025-08-05,79.6736,1,-0.0081577116081511,0.01629905384296822
2025-08-06,80.049,1,0.0047117238332397,0.016072340277518155
2025-08-07,80.1914,1,0.0017789104173693,0.016071542530674745
2025-08-08,79.3847,1,-0.0100596822103119,0.008023459371187742
2025-08-09,79.7796,1,0.0049745102015881,0.008867450138222117
2025-08-12,79.6677,1,-0.0014026142021269,0.005926069085921946
2025-08-13,79.8714,1,0.0025568706012599,0.006081175940315128
2025-08-14,79.6032,1,-0.0033578978207468,0.005338495425687541
2025-08-15,79.7653,1,0.0020363502974753,0.00502180149835374
2025-08-16,80.0224,1,0.0032232060808397,0.0051586635925871495
2025-08-19,80.4256,1,0.0050385891950253,0.003163579930142036
2025-08-20,80.3466,1,-0.0009822743007202,0.0029844641180913935
2025-08-21,80.1045,1,-0.0030131953312273,0.0032520868990413986
2025-08-22,80.2548,1,0.001876299084321,0.0032000767716726603
2025-08-23,80.7498,1,0.0061678553806125,0.0032178098686489755
2025-08-26,80.6842,1,-0.00081238591303,0.003395019901996818
2025-08-27,80.5268,1,-0.0019508156491606,0.0035530917892973844
2025-08-28,80.4421,1,-0.0010518237406677,0.003086835849394983
2025-08-29,80.2918,1,-0.0018684246184522,0.003152894438847359
2025-08-30,80.3316,1,0.0004956919635628,0.002878253912396714
2025-09-02,80.4261,1,0.00117637393006,0.0028305083189551395
2025-09-03,80.5947,1,0.0020963343989077,0.0015579507867163615
2025-09-04,80.8488,1,0.0031528127780113,0.001990267714431649
2025-09-05,81.2977,1,0.0055523396760372,0.0025282499117365727
2025-09-06,81.5556,1,0.0031722914670402,0.00235338678793003
2025-09-09,82.3397,1,0.0096142999377111,0.003112810363216781
2025-09-10,83.2425,1,0.0109643343368996,0.00380565939949798
2025-09-11,84.9211,1,0.0201651800462503,0.006413478148482182
2025-09-12,85.6647,1,0.0087563632595433,0.005896590950027987
2025-09-13,84.3798,1,-0.0149991770239082,0.010761852523706966
2025-09-16,83.0718,1,-0.0155013403681925,0.013546599525968052
2025-09-17,82.8359,1,-0.0028397121526198,0.013735503448665169
2025-09-18,82.9987,1,0.0019653314565304,0.013356460723220751
2025-09-19,83.1725,1,0.002094008701341,0.012681141948015767
2025-09-20,83.5904,1,0.0050244972797499,0.009567097644291356
2025-09-23,84.0186,1,0.0051225978102749,0.008951392008958814
2025-09-24,83.3506,1,-0.0079506204578511,0.007642394424701956
2025-09-25,83.9914,1,0.0076880070449403,0.0053619228510654905
2025-09-26,83.6069,1,-0.0045778496369867,0.005634371794325194
2025-09-27,83.6118,1,5.860760296116929e-05,0.005645068456437497
2025-09-30,82.8676,1,-0.0089006575626886,0.006735486239591796
2025-10-01,82.6084,1,-0.0031278811019022,0.006311489171339499
2025-10-02,81.4967,1,-0.0134574692162056,0.006861840533194424
2025-10-03,81.0085,1,-0.0059904266062307,0.006727861839647048
2025-10-04,81.8969,1,0.0109667504027355,0.007721521238973348
2025-10-07,83.0,1,0.0134693742986609,0.010006062120157758
2025-10-08,81.9349,1,-0.0128325301204819,0.010923544781506547
2025-10-09,81.5478,1,-0.0047244824854855,0.01064786874725135
2025-10-10,81.4103,1,-0.0016861276453808,0.010641827922472579
2025-10-11,81.1898,1,-0.0027085024867861,0.009425112694576262
2025-10-14,80.8548,1,-0.0041261340710286,0.00926918922991434
2025-10-15,79.9589,1,-0.0110803563919519,0.008546262068045632
2025-10-16,78.839,1,-0.0140059455545286,0.005150618584389169
2025-10-17,79.0839,1,0.0031063306231686,0.005785836176821487
