timestamp,actual,predicted
2024-12-01,28018113530.0,31437214506.161037
2024-12-02,47284967570.0,31026154023.692368
2024-12-03,36839829742.0,31434536734.13897
2024-12-04,56799745752.0,31912006074.97085
2024-12-05,60568296606.0,32195901523.43514
2024-12-06,52853668566.0,32521553867.052143
2024-12-07,22574636761.0,32889235819.21593
2024-12-08,20943378971.0,33245739423.579216
2024-12-09,57029832059.0,33604351528.721714
2024-12-10,58416417599.0,33973753600.040867
2024-12-11,35968053196.0,34348767419.180218
2024-12-12,42971675764.0,34728731717.252335
2024-12-13,34895127659.0,35114981671.01129
2024-12-14,28756190559.0,35507331640.62389
2024-12-15,25069616984.0,35905526704.67958
2024-12-16,46536359669.0,36309672734.96061
2024-12-17,35418700472.0,36719800734.37222
2024-12-18,48946681636.0,37135879018.44864
2024-12-19,58879190250.0,37557908535.26126
2024-12-20,66383827229.0,37985896201.56597
2024-12-21,31579389836.0,38419840068.054825
2024-12-22,24780768375.0,38859739061.898384
2024-12-23,34496081389.0,39305593892.409424
2024-12-24,23083678195.0,39757404623.89397
2024-12-25,17651873225.0,40215171080.05099
2024-12-26,22247726776.0,40678893290.58881
2024-12-27,24091627403.0,41148571287.86459
2024-12-28,14305648523.0,41624205057.05242
2024-12-29,13440907792.0,42105794594.565216
2024-12-30,26981583962.0,42593339904.65068
