timestamp,value,Close,High,Low,Open,returns,volatility
2017-11-09,893249984.0,320.8840026855469,329.4519958496094,307.0559997558594,308.6449890136719,,
2017-11-10,885985984.0,299.25299072265625,324.7179870605469,294.5419921875,320.6709899902344,-0.0081321020208381,
2017-11-11,842300992.0,314.6809997558594,319.4530029296875,298.1919860839844,298.58599853515625,-0.0493066400472538,
2017-11-12,1613479936.0,307.9079895019531,319.15301513671875,298.51300048828125,314.69000244140625,0.9155621937104405,
2017-11-13,1041889984.0,316.71600341796875,328.4150085449219,307.0249938964844,307.0249938964844,-0.3542591012423969,
2017-11-14,1069680000.0,337.6310119628906,340.177001953125,316.76300048828125,316.76300048828125,0.026672697143425,
2017-11-15,722665984.0,333.35699462890625,340.9119873046875,329.81298828125,337.9639892578125,-0.3244091840550445,
2017-11-16,797254016.0,330.92401123046875,336.15899658203125,323.6059875488281,333.4429931640625,0.103212318901674,0.42213470575393286
2017-11-17,621732992.0,332.3940124511719,334.9639892578125,327.52301025390625,330.1669921875,-0.2201569643770851,0.43395593351479544
2017-11-18,649638976.0,347.61199951171875,349.6159973144531,327.68701171875,331.9800109863281,0.0448841936314681,0.4331288541633839
2017-11-19,1181529984.0,354.385986328125,371.2909851074219,344.739990234375,347.4010009765625,0.8187486090736034,0.40034507096115324
2017-11-20,807027008.0,366.7300109863281,372.1369934082031,353.2890014648437,354.093994140625,-0.3169644283864403,0.39484517768577143
2017-11-21,949912000.0,360.4010009765625,372.4700012207031,350.6929931640625,367.4429931640625,0.1770510659291342,0.3994059227237155
2017-11-22,800819008.0,380.6520080566406,381.4200134277344,360.1470031738281,360.31201171875,-0.1569545305249328,0.3783799972106746
2017-11-23,1845680000.0,410.1659851074219,425.5480041503906,376.0880126953125,381.4389953613281,1.30474049886688,0.6041611900245859
2017-11-24,2292829952.0,474.9110107421875,480.9729919433594,402.7579956054688,412.5010070800781,0.2422684062242641,0.5703160655491625
2017-11-25,1422080000.0,466.2760009765625,485.1919860839844,461.0530090332031,475.6759948730469,-0.3797708378854952,0.6224248659875609
2017-11-26,1197779968.0,471.3299865722656,472.7229919433594,451.6059875488281,465.9739990234375,-0.1577267326732673,0.5793735251743845
2017-11-27,1396480000.0,480.3550109863281,493.4049987792969,468.4849853515625,471.531005859375,0.1658902614073438,0.5491619466400708
2017-11-28,1346499968.0,472.9020080566406,482.4800109863281,466.3469848632813,480.51800537109375,-0.0357900091659028,0.5546223347874351
2017-11-29,2675940096.0,427.5230102539063,522.3070068359375,425.0710144042969,473.281005859375,0.9873302336387432,0.6174541910963421
2017-11-30,1903040000.0,447.114013671875,465.49700927734375,401.2430114746094,431.2149963378906,-0.288833108467313,0.46083319736012057
2017-12-01,1247879936.0,466.5400085449219,472.6090087890625,428.31201171875,445.2090148925781,-0.3442702539095342,0.47858607841308237
2017-12-02,943649984.0,463.4490051269531,476.239013671875,456.6530151367188,466.85101318359375,-0.2437974545653725,0.4634838206435477
2017-12-03,990556992.0,465.8529968261719,482.8139953613281,451.85198974609375,463.7049865722656,0.0497080578554856,0.45742798428360437
2017-12-04,1005550016.0,470.2040100097656,474.7770080566406,453.31201171875,466.0539855957031,0.0151359529245542,0.4541303592896916
2017-12-05,1216720000.0,463.281005859375,473.5580139160156,457.6600036621094,470.29400634765625,0.2100044559096303,0.45858496900216905
2017-12-06,1998259968.0,428.5880126953125,462.7080078125,420.2099914550781,462.60400390625,0.6423334604510487,0.346541510193813
2017-12-07,2129570048.0,434.4079895019531,441.3970031738281,414.4110107421875,426.3689880371094,0.0657122106746823,0.32129989466889713
2017-12-08,2336379904.0,456.031005859375,466.06201171875,422.3670043945313,434.989013671875,0.0971134319785473,0.2685417306534834
2017-12-09,2003849984.0,473.50201416015625,504.1470031738281,456.25299072265625,457.343994140625,-0.1423269903283673,0.24758628449140005
2017-12-10,1404179968.0,441.7210083007813,472.78900146484375,429.5140075683594,472.78900146484375,-0.2992589369404611,0.2974820120156088
2017-12-11,1771440000.0,515.135986328125,516.968994140625,439.10400390625,440.3580017089844,0.2615476935788332,0.30249789697243834
2017-12-12,5179829760.0,651.4310302734375,657.3179931640625,504.4939880371094,522.2860107421875,1.9240785801381928,0.7503659601593629
2017-12-13,4524539904.0,702.7670288085938,747.9929809570312,597.7979736328125,644.906005859375,-0.1265079908726575,0.7590829104613183
2017-12-14,3821580032.0,695.8159790039062,753.1209716796875,664.989013671875,700.593994140625,-0.155366045369284,0.772715576477632
2017-12-15,2758710016.0,684.447998046875,697.1320190429688,621.0609741210938,696.3759765625,-0.27812318650926,0.7955620777691937
2017-12-16,2165690112.0,696.208984375,718.385009765625,680.7860107421875,686.1920166015625,-0.214962754534038,0.800758490406135
2017-12-17,2147389952.0,719.9749755859375,735.8250122070312,696.2369995117188,696.2369995117188,-0.008450036271856,0.780317686206957
2017-12-18,3249230080.0,794.64501953125,803.927978515625,689.2310180664062,721.7319946289062,0.5131066795640851,0.7893480702872764
2017-12-19,4096549888.0,826.822998046875,881.9439697265625,785.3419799804688,793.9010009765625,0.2607755644069378,0.2872412362734464
2017-12-20,3969939968.0,819.0859985351562,845.06201171875,756.0040283203125,827.5159912109375,-0.0309064758056231,0.2825333872577626
2017-12-21,3569060096.0,821.06298828125,880.5430297851562,792.6890258789062,820.2360229492188,-0.1009788246752652,0.27786349157628726
2017-12-22,4977710080.0,674.8599853515625,827.6829833984375,543.7620239257812,822.6430053710938,0.3946837391667164,0.27386236057481206
2017-12-23,2480339968.0,719.3870239257812,763.89501953125,679.7310180664062,681.3159790039062,-0.5017106404075666,0.34409087600564486
2017-12-24,2300549888.0,694.1480102539062,721.7689819335938,614.9219970703125,721.7689819335938,-0.0724860633298475,0.34752012513493735
2017-12-25,2491760128.0,765.833984375,782.52099609375,698.8699951171875,698.8699951171875,0.0831150156740265,0.28828694115252695
