timestamp,actual_returns,forecast_volatility
2024-12-01,-0.0864909970849512,0.4098015023028846
2024-12-02,0.6876570765326613,0.4097169980602518
2024-12-03,-0.2208976417830289,0.40963257821551763
2024-12-04,0.5418026128183837,0.4095482426981761
2024-12-05,0.0663480232896518,0.4094639914377589
2024-12-06,-0.1273707281250464,0.4093798243638353
2024-12-07,-0.5728842032448447,0.40929574140601227
2024-12-08,-0.0722606439815751,0.4092117424939343
2024-12-09,1.723048278788652,0.40912782755728366
2024-12-10,0.0243133372471711,0.40904399652578016
2024-12-11,-0.3842817708729931,0.40896024932918124
2024-12-12,0.1947178661529245,0.4088765858972822
2024-12-13,-0.1879505037075193,0.4087930061599158
2024-12-14,-0.175925337198664,0.40870951004695255
2024-12-15,-0.1282010413526833,0.40862609748830075
2024-12-16,0.8562852276004282,0.4085427684139061
2024-12-17,-0.2389026403456732,0.4084595227537522
2024-12-18,0.3819445937801826,0.40837636043786035
2024-12-19,0.2029250662560686,0.40829328139628956
2024-12-20,0.127458223306663,0.40821028555913635
2024-12-21,-0.5242909131005264,0.4081273728565351
2024-12-22,-0.2152866631149941,0.4080445432186581
2024-12-23,0.3920505154231319,0.40796179657571485
2024-12-24,-0.3308318723308425,0.4078791328579531
2024-12-25,-0.2353093351984324,0.407796551995658
2024-12-26,0.2603606706449139,0.40771405391915266
2024-12-27,0.0828804059653021,0.40763163855879775
2024-12-28,-0.4061983325701528,0.4075493058449918
2024-12-29,-0.0604475029293294,0.40746705570817104
2024-12-30,1.0074227410487393,0.40738488807880957
