timestamp,actual,predicted,error
2026-05-13,73.7878,74.47856897114495,-0.6907689711449478
2026-05-14,73.342,74.91827282771206,-1.5762728277120601
2026-05-15,73.1385,74.7129771421045,-1.574477142104513
2026-05-16,73.1275,74.14489674064268,-1.0173967406426812
2026-05-19,72.3497,73.92312965760684,-1.5734296576068374
2026-05-20,71.2926,73.11583884115112,-1.8232388411511238
2026-05-21,70.9509,73.29593829090032,-2.3450382909003196
2026-05-22,70.7902,73.02602806080651,-2.2358280608065115
2026-05-23,71.209,72.93087685349468,-1.7218768534946776
2026-05-26,71.546,72.90489971600734,-1.358899716007329
2026-05-27,71.668,72.69425593731486,-1.0262559373148576
2026-05-28,70.9012,72.18886883610575,-1.2876688361057518
2026-05-29,71.3715,71.68316090976097,-0.31166090976097394
2026-05-30,71.0224,71.5565270522346,-0.5341270522345951
2026-06-02,71.5532,71.4684195891941,0.08478041080590515
2026-06-03,72.5597,71.307050043572,1.2526499564280016
2026-06-04,73.3436,70.94917607796853,2.3944239220314643
2026-06-05,74.2956,70.75971739480299,3.5358826051970027
2026-06-06,73.4689,70.53883546858981,2.9300645314101956
2026-06-09,73.2644,70.35498701280449,2.909412987195509
