source_timestamp,target_timestamp,actual,fuzzy_state,forecast_labels,predicted
2018-01-15,2018-01-16,8405139968.0,A2,"A1, A2, A3, A4, A5, A8, A6",13412699537.916111
2018-01-16,2018-01-17,8545160192.0,A3,"A2, A3, A4, A5, A7, A8, A6, A1, A10",16598213918.043562
2018-01-17,2018-01-18,5938319872.0,A3,"A2, A3, A4, A5, A7, A8, A6, A1, A10",16598213918.043562
2018-01-18,2018-01-19,4084450048.0,A2,"A1, A2, A3, A4, A5, A8, A6",13412699537.916111
2018-01-19,2018-01-20,3975190016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-01-20,2018-01-21,3378089984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-01-21,2018-01-22,3810099968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-01-22,2018-01-23,3556699904.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-01-23,2018-01-24,3944039936.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-01-24,2018-01-25,4050190080.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-01-25,2018-01-26,3617690112.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-01-26,2018-01-27,3002870016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-01-27,2018-01-28,5372329984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-01-28,2018-01-29,3715079936.0,A2,"A1, A2, A3, A4, A5, A8, A6",13412699537.916111
2018-01-29,2018-01-30,4107859968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-01-30,2018-01-31,3757560064.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-01-31,2018-02-01,5261680128.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-01,2018-02-02,6713290240.0,A2,"A1, A2, A3, A4, A5, A8, A6",13412699537.916111
2018-02-02,2018-02-03,3243480064.0,A2,"A1, A2, A3, A4, A5, A8, A6",13412699537.916111
2018-02-03,2018-02-04,2997090048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-04,2018-02-05,4269530112.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-05,2018-02-06,6518269952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-06,2018-02-07,3896179968.0,A2,"A1, A2, A3, A4, A5, A8, A6",13412699537.916111
2018-02-07,2018-02-08,3708189952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-08,2018-02-09,2495820032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-09,2018-02-10,2930530048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-10,2018-02-11,2486650112.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-11,2018-02-12,2243450112.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-12,2018-02-13,2081170048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-13,2018-02-14,2818370048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-02-14,2018-02-15,2900100096.0,A1,"A1, A2, A3, A4",8007769401.142489
