timestamp,value,returns,volatility
2017-11-09,893249984.0,,
2017-11-10,885985984.0,-0.0081321020208381,
2017-11-11,842300992.0,-0.0493066400472538,
2017-11-12,1613479936.0,0.9155621937104405,
2017-11-13,1041889984.0,-0.3542591012423969,
2017-11-14,1069680000.0,0.026672697143425,0.47714474696119935
2017-11-15,722665984.0,-0.3244091840550445,0.5154988048060491
2017-11-16,797254016.0,0.103212318901674,0.5131894922260302
2017-11-17,621732992.0,-0.2201569643770851,0.20755741220395738
2017-11-18,649638976.0,0.0448841936314681,0.18690857314761464
2017-11-19,1181529984.0,0.8187486090736034,0.44751065906212767
2017-11-20,807027008.0,-0.3169644283864403,0.44581938598238974
2017-11-21,949912000.0,0.1770510659291342,0.44775312953948854
2017-11-22,800819008.0,-0.1569545305249328,0.4371977917889593
2017-11-23,1845680000.0,1.30474049886688,0.6822456110370986
2017-11-24,2292829952.0,0.2422684062242641,0.6334270860698554
2017-11-25,1422080000.0,-0.3797708378854952,0.6479384137852334
2017-11-26,1197779968.0,-0.1577267326732673,0.67257145817123
2017-11-27,1396480000.0,0.1658902614073438,0.6483346277247848
2017-11-28,1346499968.0,-0.0357900091659028,0.2505716385719688
2017-11-29,2675940096.0,0.9873302336387432,0.5257044483586815
2017-11-30,1903040000.0,-0.288833108467313,0.5054478944943376
2017-12-01,1247879936.0,-0.3442702539095342,0.5382038446547576
2017-12-02,943649984.0,-0.2437974545653725,0.5559612122055608
2017-12-03,990556992.0,0.0497080578554856,0.5553257715629856
2017-12-04,1005550016.0,0.0151359529245542,0.1817941885252489
2017-12-05,1216720000.0,0.2100044559096303,0.2264618110649037
2017-12-06,1998259968.0,0.6423334604510487,0.32716280476051085
2017-12-07,2129570048.0,0.0657122106746823,0.2600461744599384
2017-12-08,2336379904.0,0.0971134319785473,0.25415002431149386
2017-12-09,2003849984.0,-0.1423269903283673,0.29083134986977655
2017-12-10,1404179968.0,-0.2992589369404611,0.35697240103216504
2017-12-11,1771440000.0,0.2615476935788332,0.2190376327115041
2017-12-12,5179829760.0,1.9240785801381928,0.8960691984419107
2017-12-13,4524539904.0,-0.1265079908726575,0.9182892449502992
2017-12-14,3821580032.0,-0.155366045369284,0.9199598658933409
2017-12-15,2758710016.0,-0.27812318650926,0.9164397147353166
2017-12-16,2165690112.0,-0.214962754534038,0.9489056910965009
2017-12-17,2147389952.0,-0.008450036271856,0.10127873143451978
2017-12-18,3249230080.0,0.5131066795640851,0.31894927039823756
2017-12-19,4096549888.0,0.2607755644069378,0.3316929143186062
2017-12-20,3969939968.0,-0.0309064758056231,0.28483715580708696
2017-12-21,3569060096.0,-0.1009788246752652,0.25604167593791516
2017-12-22,4977710080.0,0.3946837391667164,0.2661147211675844
2017-12-23,2480339968.0,-0.5017106404075666,0.34876533930656317
2017-12-24,2300549888.0,-0.0724860633298475,0.3180020469359999
2017-12-25,2491760128.0,0.0831150156740265,0.32482932470453146
2017-12-26,2201159936.0,-0.1166244650656839,0.32564425065941605
2017-12-27,2100029952.0,-0.0459439508897185,0.22030451804501275
2017-12-28,2389149952.0,0.1376742268483606,0.10815260170828021
2017-12-29,2648969984.0,0.1087499894188308,0.10934477646920661
2017-12-30,3187780096.0,0.2034036305637505,0.1335686211402496
2017-12-31,2554269952.0,-0.1987308173468186,0.16228140460227036
2018-01-01,2595760128.0,0.0162434577314403,0.15621890916665687
2018-01-02,5783349760.0,1.2279985340771828,0.5550421258085924
2018-01-03,5093159936.0,-0.1193408409731041,0.5805527522490456
2018-01-04,6502859776.0,0.2767829515888189,0.5807688664126085
2018-01-05,6683149824.0,0.0277247325346601,0.545715591112147
2018-01-06,4662219776.0,-0.3023918513307296,0.6008904570903058
2018-01-07,5569880064.0,0.1946841486693569,0.2343941473318949
