parameters,order,seasonal_order,mae,rmse,mape
"{'p': 0, 'd': 0, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 2]","[1, 0, 0, 7]",0.004491754154202954,0.006435033562363126,0.41620506527489143
"{'p': 0, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 1]","[1, 0, 0, 7]",0.004540721590449071,0.006462142268154982,0.42076605066762185
"{'p': 0, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 1]","[1, 0, 1, 7]",0.004639621327429899,0.006661728805634987,0.42990217288148097
"{'p': 0, 'd': 0, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 2]","[1, 0, 1, 7]",0.0048461488938247085,0.006940550219774843,0.4490551864710629
"{'p': 0, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 0]","[1, 0, 0, 7]",0.0051317340124720666,0.007142682018742898,0.47567065463705516
"{'p': 0, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 0]","[1, 0, 1, 7]",0.005182462296727408,0.007203889235945959,0.48037821859392893
"{'p': 0, 'd': 0, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 2]","[0, 0, 0, 7]",0.9712533014247194,1.0008185622215018,90.2774954694577
"{'p': 0, 'd': 0, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 2]","[0, 0, 1, 7]",0.9986673985125041,1.0283259587199383,92.82970437281438
"{'p': 0, 'd': 0, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 1]","[0, 0, 0, 7]",1.0213381419707148,1.034335952067149,94.94613662125401
"{'p': 0, 'd': 0, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 1]","[0, 0, 1, 7]",1.0293182300308577,1.0424537913027407,95.68929893205258
"{'p': 0, 'd': 0, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 0, 0]","[0, 0, 1, 7]",1.0778785997613576,1.0778819977726757,100.21190031791001
