timestamp,actual,predicted
2024-12-01,28018113530.0,32907469678.494312
2024-12-02,47284967570.0,33941231390.29236
2024-12-03,36839829742.0,34419037974.080734
2024-12-04,56799745752.0,34639881064.81045
2024-12-05,60568296606.0,34741955151.64357
2024-12-06,52853668566.0,34789133984.21827
2024-12-07,22574636761.0,34810940128.28645
2024-12-08,20943378971.0,34821018968.58776
2024-12-09,57029832059.0,34825677427.3002
2024-12-10,58416417599.0,34827830575.57191
2024-12-11,35968053196.0,34828825764.70336
2024-12-12,42971675764.0,34829285742.96885
2024-12-13,34895127659.0,34829498345.77774
2024-12-14,28756190559.0,34829596611.190994
2024-12-15,25069616984.0,34829642029.64757
2024-12-16,46536359669.0,34829663022.14258
2024-12-17,35418700472.0,34829672724.91277
2024-12-18,48946681636.0,34829677209.551186
2024-12-19,58879190250.0,34829679282.35939
2024-12-20,66383827229.0,34829680240.41519
2024-12-21,31579389836.0,34829680683.23036
2024-12-22,24780768375.0,34829680887.90036
2024-12-23,34496081389.0,34829680982.499214
2024-12-24,23083678195.0,34829681026.22298
2024-12-25,17651873225.0,34829681046.43218
2024-12-26,22247726776.0,34829681055.77291
2024-12-27,24091627403.0,34829681060.09022
2024-12-28,14305648523.0,34829681062.085686
2024-12-29,13440907792.0,34829681063.007996
2024-12-30,26981583962.0,34829681063.43429
