timestamp,actual,predicted
2024-11-11,55417771668.0,39322174114.14386
2024-11-12,56686078066.0,34119719986.700153
2024-11-13,52010205682.0,32335266555.010708
2024-11-14,35743352141.0,32288943420.340637
2024-11-15,32701369872.0,32617963018.871147
2024-11-16,26650658846.0,32755288232.535004
2024-11-17,28348163224.0,32646775438.9716
2024-11-18,35445557613.0,32406898507.346264
2024-11-19,29823634432.0,32136745192.00137
2024-11-20,29785491216.0,31881134675.208656
2024-11-21,51619069348.0,31646144440.976833
2024-11-22,36775716442.0,31424064185.389233
2024-11-23,38835184688.0,31207402694.275204
2024-11-24,27901454185.0,30992610181.45183
2024-11-25,51544793988.0,30779047578.937588
2024-11-26,39902959158.0,30567190264.970837
2024-11-27,43383987191.0,30357556548.59363
2024-11-28,32362724276.0,30150392050.397213
2024-11-29,27622629486.0,29945725288.11631
2024-11-30,30670867436.0,29743496007.960712
2024-12-01,28018113530.0,29543636678.789772
2024-12-02,47284967570.0,29346098763.289177
2024-12-03,36839829742.0,29150850196.690437
2024-12-04,56799745752.0,28957866289.638237
2024-12-05,60568296606.0,28767123560.569992
2024-12-06,52853668566.0,28578597576.96453
2024-12-07,22574636761.0,28392263015.663166
2024-12-08,20943378971.0,28208094297.735912
2024-12-09,57029832059.0,28026066048.6398
2024-12-10,58416417599.0,27846153269.372437
2024-12-11,35968053196.0,27668331337.679813
2024-12-12,42971675764.0,27492575960.352303
2024-12-13,34895127659.0,27318863135.221363
2024-12-14,28756190559.0,27147169133.88295
2024-12-15,25069616984.0,26977470497.40515
2024-12-16,46536359669.0,26809744036.16452
2024-12-17,35418700472.0,26643966829.2575
2024-12-18,48946681636.0,26480116222.479748
2024-12-19,58879190250.0,26318169825.361526
2024-12-20,66383827229.0,26158105507.902367
2024-12-21,31579389836.0,25999901397.356148
2024-12-22,24780768375.0,25843535875.15462
2024-12-23,34496081389.0,25688987573.93954
2024-12-24,23083678195.0,25536235374.656456
2024-12-25,17651873225.0,25385258403.68283
2024-12-26,22247726776.0,25236036029.982487
2024-12-27,24091627403.0,25088547862.287704
2024-12-28,14305648523.0,24942773746.311855
2024-12-29,13440907792.0,24798693761.994286
2024-12-30,26981583962.0,24656288220.777702
