timestamp,actual,predicted
2024-02-02,18603843039,20730508137.612396
2024-02-03,11169245236,14418857166.954664
2024-02-04,14802225490,15696542928.897348
2024-02-05,18715487317,21210699580.933483
2024-02-06,16798476726,22021545008.61998
2024-02-07,21126587775,22822715688.481396
2024-02-08,26154524080,20686033350.347744
2024-02-09,39316770844,19861215380.883366
2024-02-10,16398681570,15751372443.415417
2024-02-11,19315867136,16001192256.96491
2024-02-12,34511985805,19471182533.997845
2024-02-13,35593051468,20726066147.62241
2024-02-14,39105608050,21440753265.91235
2024-02-15,38564360533,20472803788.13562
2024-02-16,31944822784,18961208112.937126
