timestamp,actual,predicted
2024-12-01,28018113530.0,33770120288.243393
2024-12-02,47284967570.0,34876845634.15213
2024-12-03,36839829742.0,35087666987.75761
2024-12-04,56799745752.0,35086519550.27571
2024-12-05,60568296606.0,35075417397.90217
2024-12-06,52853668566.0,35079936202.711105
2024-12-07,22574636761.0,35092383495.39357
2024-12-08,20943378971.0,35106897210.882256
2024-12-09,57029832059.0,35121584243.01607
2024-12-10,58416417599.0,35136153099.880745
2024-12-11,35968053196.0,35150652695.348434
2024-12-12,42971675764.0,35165132507.43414
2024-12-13,34895127659.0,35179610031.082016
2024-12-14,28756190559.0,35194088404.74775
2024-12-15,25069616984.0,35208567375.25564
2024-12-16,46536359669.0,35223046532.18173
2024-12-17,35418700472.0,35237525715.956345
2024-12-18,48946681636.0,35252004894.0846
2024-12-19,58879190250.0,35266484067.145294
2024-12-20,66383827229.0,35280963238.47443
2024-12-21,31579389836.0,35295442409.50907
2024-12-22,24780768375.0,35309921580.576
2024-12-23,34496081389.0,35324400751.68524
2024-12-24,23083678195.0,35338879922.810356
2024-12-25,17651873225.0,35353359093.93856
2024-12-26,22247726776.0,35367838265.06664
2024-12-27,24091627403.0,35382317436.19438
2024-12-28,14305648523.0,35396796607.321976
2024-12-29,13440907792.0,35411275778.44954
2024-12-30,26981583962.0,35425754949.5771
