timestamp,actual,predicted
2024-11-16,26650658846.0,34555193897.2112
2024-11-17,28348163224.0,35423812681.48743
2024-11-18,35445557613.0,35830808481.59394
2024-11-19,29823634432.0,36021508457.5821
2024-11-20,29785491216.0,36110861912.41473
2024-11-21,51619069348.0,36152728933.36821
2024-11-22,36775716442.0,36172345941.42686
2024-11-23,38835184688.0,36181537591.47525
2024-11-24,27901454185.0,36185844386.39319
2024-11-25,51544793988.0,36187862357.308914
2024-11-26,39902959158.0,36188807887.96322
2024-11-27,43383987191.0,36189250921.21571
2024-11-28,32362724276.0,36189458506.72542
2024-11-29,27622629486.0,36189555771.98394
2024-11-30,30670867436.0,36189601346.121216
2024-12-01,28018113530.0,36189622700.1177
2024-12-02,47284967570.0,36189632705.64261
2024-12-03,36839829742.0,36189637393.78278
2024-12-04,56799745752.0,36189639590.43498
2024-12-05,60568296606.0,36189640619.68767
2024-12-06,52853668566.0,36189641101.94931
2024-12-07,22574636761.0,36189641327.91548
2024-12-08,20943378971.0,36189641433.79309
2024-12-09,57029832059.0,36189641483.40259
2024-12-10,58416417599.0,36189641506.64738
2024-12-11,35968053196.0,36189641517.53884
2024-12-12,42971675764.0,36189641522.64209
2024-12-13,34895127659.0,36189641525.03324
2024-12-14,28756190559.0,36189641526.153625
2024-12-15,25069616984.0,36189641526.67859
2024-12-16,46536359669.0,36189641526.92456
2024-12-17,35418700472.0,36189641527.03981
2024-12-18,48946681636.0,36189641527.09381
2024-12-19,58879190250.0,36189641527.11912
2024-12-20,66383827229.0,36189641527.130974
2024-12-21,31579389836.0,36189641527.13653
2024-12-22,24780768375.0,36189641527.13913
2024-12-23,34496081389.0,36189641527.14035
2024-12-24,23083678195.0,36189641527.14092
2024-12-25,17651873225.0,36189641527.14119
2024-12-26,22247726776.0,36189641527.14131
2024-12-27,24091627403.0,36189641527.14137
2024-12-28,14305648523.0,36189641527.1414
2024-12-29,13440907792.0,36189641527.14142
2024-12-30,26981583962.0,36189641527.141426
