parameters,fuzzy_sets_count,mae,mse,rmse,mape
"{'min_sets': 7, 'max_sets': 25}",25,5541030757.773421,4.7451702229092614e+19,6888519596.335094,39.81275077548627
"{'min_sets': 7, 'max_sets': 20}",20,6151997187.651436,5.567969072737255e+19,7461882519.000989,44.81071056675792
"{'min_sets': 7, 'max_sets': 15}",15,6658039067.022477,6.2675215361912545e+19,7916767987.121547,49.69081897287815
"{'min_sets': 7, 'max_sets': 10}",10,8575258982.83316,9.624440797729722e+19,9810423435.16819,66.86071017099128
"{'min_sets': 7, 'max_sets': 7}",7,10328749827.452074,1.3658916053235142e+20,11687136541.187128,82.02639007172766
