parameters,order,seasonal_order,mae,rmse,mape
"{'p': 2, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 0, 0]","[1, 0, 0, 7]",33450787950.55053,33863355266.42118,163.4722002539849
"{'p': 2, 'd': 0, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 0]","[0, 0, 1, 7]",34430194916.753525,34858961188.537315,168.2610268194745
"{'p': 1, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 0, 1]","[1, 0, 0, 7]",34342359992.716747,34925435609.812996,169.59438086075252
"{'p': 1, 'd': 0, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 1]","[0, 0, 1, 7]",34794947897.790115,35368299547.853546,171.85173049477982
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 1]","[1, 0, 1, 7]",34703326308.67143,35380136709.74416,169.5848794869115
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 1]","[0, 0, 0, 7]",35762976647.73635,36347383386.060234,176.7286176203759
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 0]","[1, 0, 1, 7]",37672508455.09184,38319942486.17231,183.60377493116758
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 1]","[0, 0, 1, 7]",38784335380.14044,39538970680.94809,192.30149410186726
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 0]","[0, 0, 0, 7]",39005843852.10176,39541448045.5963,191.95096277572745
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 1]","[1, 0, 0, 7]",39049180120.21371,39866266428.47841,193.71056911137353
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 0]","[1, 0, 1, 7]",40654116236.51986,41258295269.97388,197.59946595079865
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 0]","[0, 0, 1, 7]",41551323574.924385,42274551506.26178,205.3943150167398
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 0]","[0, 0, 0, 7]",41844586807.10818,42350224358.0161,205.2758985359056
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 0]","[1, 0, 0, 7]",41719701592.22254,42501088656.985214,206.34113672530577
"{'p': 0, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 0]","[1, 0, 1, 7]",42279927734.36769,42839012383.9723,205.21349043426795
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 0]","[0, 0, 1, 7]",44675002598.480484,45401399141.895,220.43974603241816
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 0]","[1, 0, 0, 7]",44790343487.6619,45584860172.96119,221.19229089622982
"{'p': 0, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[0, 1, 0]","[0, 0, 1, 7]",46140001583.44338,46837387784.793846,227.29764566718944
"{'p': 0, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 0]","[1, 0, 0, 7]",46336268294.94815,47086990721.990746,228.4079623301941
